epoch,train_loss,validation_loss,psnr_med,psnr_large
1,-21.909549982899215,-25.02270206451416,27.08760991668701,24.334399490356446
2,-25.430039394424256,-25.59108699798584,27.846436141967775,24.839304008483886
3,-25.83807949810864,-25.9270708694458,28.368192749023436,25.113363609313964
4,-25.994153330525553,-25.94010146331787,28.344677856445312,25.138575904846192
5,-26.162680736101006,-26.18744849395752,28.747609672546385,25.334061325073243
6,-26.259161800977243,-26.27286799621582,28.87521563720703,25.405418815612794
7,-26.3055575777335,-26.33491088104248,28.96377737426758,25.45862198638916
8,-26.333281953971223,-26.387240715026856,29.048577377319337,25.500128494262697
9,-26.45858320107023,-26.437163719177246,29.12273072052002,25.541974708557127
10,-26.414114682322953,-26.485325607299806,29.197915603637696,25.581128845214845
11,-26.54416155720137,-26.267900184631348,28.81757336425781,25.41800910949707
12,-26.538866651010704,-26.447824768066408,29.149364234924317,25.547311531066896
13,-26.58512373084566,-26.594928512573244,29.364373931884767,25.671780044555664
14,-26.63460039237581,-26.46910432434082,29.134788597106933,25.58054292297363
15,-26.651636138855224,-26.437973861694335,29.0886958694458,25.55439998626709
16,-26.702152305390257,-26.709968902587892,29.524804901123048,25.771690185546873
17,-26.721109405456787,-26.69957662200928,29.485451850891113,25.77095140838623
18,-26.72169679284571,-26.771633087158204,29.606439537048338,25.826697601318358
19,-26.80692902219248,-26.821164764404298,29.675328971862793,25.869776718139647
20,-26.854568169886374,-26.708003959655763,29.51416441345215,25.772617172241212
21,-26.80779879596604,-26.764621994018555,29.578228179931642,25.826753204345703
22,-26.89659632344645,-26.819917625427244,29.6655047454834,25.871388526916505
23,-26.918260901097756,-26.898708297729492,29.776711753845216,25.939373893737795
24,-26.938164608412055,-26.95339344787598,29.84636424255371,25.98906977844238
25,-26.917760377861114,-26.955231254577637,29.847135772705077,25.991263061523437
26,-26.96853345133869,-26.964226585388182,29.851888053894044,26.00167276763916
27,-26.986032523956908,-26.978279373168945,29.885225791931152,26.009297172546386
28,-26.99211670772963,-26.691831733703612,29.473236549377443,25.76469676208496
29,-26.885631021750402,-26.96235368347168,29.83837331390381,26.003680526733397
30,-27.061530063826723,-27.013352081298827,29.928834426879884,26.041524559020996
31,-27.08743807424112,-27.05870743560791,29.989764122009277,26.08168852996826
32,-26.99683576941015,-27.030942733764647,29.944679931640625,26.05969701385498
33,-27.030475753237052,-27.058231468200685,29.98901082611084,26.081304992675783
34,-27.017022151871032,-26.982979110717775,29.857502243041992,26.02480467224121
35,-27.10253983759785,-27.029138542175293,29.935487838745118,26.060355377197265
36,-27.099407636786836,-27.06586312866211,29.987025611877442,26.09214232635498
37,-27.096582481110712,-27.114287689208986,30.06659925842285,26.13018384552002
38,-27.099198512347098,-25.814900772094727,28.233082870483397,25.00884011077881
39,-26.995799714350607,-27.083770484924315,30.018140274047852,26.105647285461426
40,-27.132434928559686,-26.833493370056154,29.571897926330568,25.920691772460938
41,-27.12859271532036,-27.06890355682373,29.965933334350584,26.10322688293457
42,-27.11892738950205,-27.00206269836426,29.923294334411622,26.0283187789917
43,-27.15623193718048,-27.156861419677735,30.12739199066162,26.1666845703125
44,-27.168916709869507,-27.10615461730957,30.051967475891114,26.124217102050782
45,-27.160954973137237,-27.147176811218262,30.111823631286622,26.158961318969727
46,-27.133649362510894,-27.16498040008545,30.13860046386719,26.17377368927002
