epoch,train_loss,validation_loss,psnr_med,psnr_large
1,-20.772613065651214,-23.516617782592775,25.028751708984377,23.012573081970213
2,-24.263736253715606,-24.14412036895752,25.950163330078126,23.542105903625487
3,-25.045552310715635,-25.32746723937988,27.51046329498291,24.59980192565918
4,-25.508507648787177,-25.645956665039062,27.98057590484619,24.867750274658203
5,-25.709767406205255,-25.819676445007325,28.200774780273438,25.025977035522462
6,-25.85004098291891,-25.342621276855468,27.59607051849365,24.591471382141112
7,-26.001463711499216,-26.00195534515381,28.442822868347168,25.188332817077637
8,-26.018104249262716,-25.93079763031006,28.33772164916992,25.128489685058593
9,-26.083029120091897,-26.095914978027345,28.58227703857422,25.267127586364747
10,-26.224999294812935,-26.062304512023925,28.561718032836914,25.229166709899904
11,-26.309042007324706,-25.908986465454102,28.30119803619385,25.111582580566406
12,-26.320524846415122,-26.17803423309326,28.680557693481447,25.34385971069336
13,-26.347647336374717,-25.949091331481934,28.418918586730957,25.12581552886963
14,-26.381386555523513,-26.43013794708252,29.0891982421875,25.54378451538086
15,-26.49706319223837,-26.425482276916505,28.9495923538208,25.5841123046875
16,-26.521945520226225,-26.52559555053711,29.207053932189943,25.631776069641113
17,-26.572939998125175,-26.58271790313721,29.29110391998291,25.679922523498536
18,-26.63950797761104,-26.64632064819336,29.39122465515137,25.731352729797365
19,-26.606840331240953,-26.61635678100586,29.359398239135743,25.70200961303711
20,-26.594075518300333,-26.460412162780763,29.013580215454102,25.609356163024902
21,-26.672555003983092,-26.716302490234376,29.493025939941408,25.790728042602538
22,-26.63852870986756,-26.741739097595215,29.525847099304197,25.81370309448242
23,-26.72827968369442,-26.530566787719728,29.253559631347656,25.622902542114257
24,-26.723142943059305,-26.788334846496582,29.59673648071289,25.852200996398924
25,-26.7971633060045,-26.622359298706055,29.271412796020506,25.73934147644043
26,-26.707563301481574,-26.84673258972168,29.684192329406738,25.900912788391114
27,-26.850658697910994,-26.84854527282715,29.675596099853514,25.906195037841798
28,-26.809075306136293,-26.822745323181152,29.635862907409667,25.885039405822752
29,-26.669269379391615,-26.88024115753174,29.72784284210205,25.931040573120118
30,-26.889816398164665,-26.722932090759276,29.462696937561034,25.80967716217041
31,-26.883195238759317,-26.862067893981934,29.70387085723877,25.914800201416014
32,-26.866544867891715,-26.79213102722168,29.662097076416014,25.835475776672364
33,-26.935500445118937,-26.892216735839845,29.732998764038086,25.945289382934572
34,-26.924002172462494,-26.941829559326173,29.825532920837404,25.980595176696777
35,-26.94288694526095,-26.957947235107422,29.83372496032715,25.999354583740235
36,-26.990195665701453,-26.872168464660646,29.675769325256347,25.93763495635986
37,-26.943668479463494,-26.99807791900635,29.893965850830078,26.032781921386718
38,-26.92878302919912,-26.951182304382325,29.82774221801758,25.992329040527345
39,-26.931146614105103,-26.99617064666748,29.90505867767334,26.026541358947753
40,-27.004051846811972,-27.022812477111817,29.92696208190918,26.054762504577635
41,-26.972382959616613,-26.913899734497072,29.748126174926757,25.969157608032226
42,-27.027211223465514,-26.92875090789795,29.763536994934082,25.983822303771973
43,-27.023340969921584,-27.05872043609619,29.988313926696776,26.08218930053711
44,-26.97468402756163,-26.172941108703615,28.721968978881836,25.32326512145996
45,-26.9728011781001,-26.92989077758789,29.77458952331543,25.981657768249512
46,-27.03165215420058,-26.997308418273924,29.87967078399658,26.036521072387696
47,-27.051666464938585,-26.99266349029541,29.85736139678955,26.037764030456543
48,-27.00669692901976,-27.08811545562744,30.031875495910644,26.106862060546874
49,-27.08186436079413,-27.091229888916015,30.02645686340332,26.112820861816406
50,-26.997774405308455,-26.83673092651367,29.706706871032715,25.880072242736816
51,-27.069754862690353,-26.82614150238037,29.57387325286865,25.910230834960938
52,-27.08179168397212,-26.930029296875,29.741906951904298,25.992736778259278
53,-27.08748769570157,-26.902907707214357,29.772297500610353,25.94644445037842
54,-27.111702307286965,-27.119598487854002,30.07592883300781,26.13415500640869
55,-27.0957114231064,-27.111311065673828,30.05791399383545,26.12911011505127
56,-27.050453907940017,-27.036602447509765,29.953379913330078,26.064343238830567
57,-27.127880385197493,-27.098049339294434,30.019992652893066,26.124068244934083
